"행정구역","2021년03월_총인구수","2021년03월_세대수","2021년03월_세대당 인구","2021년03월_남자 인구수","2021년03월_여자 인구수","2021년03월_남여 비율"
"서울특별시  (1100000000)","9,598,484","4,400,403","          2.18","4,667,524","4,930,960","          0.95"
"서울특별시 종로구 (1111000000)","147,296","74,113","          1.99","71,644","75,652","          0.95"
"서울특별시 종로구 청운효자동(1111051500)","12,095","5,237","          2.31","5,619","6,476","          0.87"
"서울특별시 종로구 사직동(1111053000)","9,543","4,787","          1.99","4,275","5,268","          0.81"
"서울특별시 종로구 삼청동(1111054000)","2,530","1,259","          2.01","1,211","1,319","          0.92"
"서울특별시 종로구 부암동(1111055000)","9,819","4,294","          2.29","4,690","5,129","          0.91"
"서울특별시 종로구 평창동(1111056000)","18,308","7,532","          2.43","8,518","9,790","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,380","3,075","          2.73","3,907","4,473","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,230","4,468","          2.29","4,729","5,501","          0.86"
"서울특별시 종로구 가회동(1111060000)","4,203","2,019","          2.08","1,952","2,251","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,227","5,279","          1.37","4,320","2,907","          1.49"
"서울특별시 종로구 종로5.6가동(1111063000)","5,264","3,466","          1.52","2,847","2,417","          1.18"
"서울특별시 종로구 이화동(1111064000)","7,399","4,304","          1.72","3,490","3,909","          0.89"
"서울특별시 종로구 혜화동(1111065000)","16,711","9,374","          1.78","8,038","8,673","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","5,054","2,930","          1.72","2,718","2,336","          1.16"
"서울특별시 종로구 창신제2동(1111068000)","8,198","4,156","          1.97","4,214","3,984","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,752","2,811","          2.40","3,320","3,432","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","6,041","3,023","          2.00","2,933","3,108","          0.94"
"서울특별시 종로구 숭인제2동(1111071000)","9,542","6,099","          1.56","4,863","4,679","          1.04"
"서울특별시 중구 (1114000000)","124,552","63,746","          1.95","60,851","63,701","          0.96"
"서울특별시 중구 소공동(1114052000)","2,143","1,199","          1.79","1,050","1,093","          0.96"
"서울특별시 중구 회현동(1114054000)","5,114","3,014","          1.70","2,714","2,400","          1.13"
"서울특별시 중구 명동(1114055000)","2,930","1,569","          1.87","1,251","1,679","          0.75"
"서울특별시 중구 필동(1114057000)","4,015","2,416","          1.66","2,080","1,935","          1.07"
"서울특별시 중구 장충동(1114058000)","4,566","2,692","          1.70","2,298","2,268","          1.01"
"서울특별시 중구 광희동(1114059000)","5,343","3,389","          1.58","2,734","2,609","          1.05"
"서울특별시 중구 을지로동(1114060500)","1,796","1,364","          1.32","1,076","720","          1.49"
"서울특별시 중구 신당동(1114061500)","7,680","4,672","          1.64","3,823","3,857","          0.99"
"서울특별시 중구 다산동(1114062500)","14,141","6,959","          2.03","6,856","7,285","          0.94"
"서울특별시 중구 약수동(1114063500)","16,920","7,751","          2.18","7,989","8,931","          0.89"
"서울특별시 중구 청구동(1114064500)","13,894","6,375","          2.18","6,587","7,307","          0.90"
"서울특별시 중구 신당제5동(1114065000)","10,501","5,403","          1.94","5,104","5,397","          0.95"
"서울특별시 중구 동화동(1114066500)","10,586","4,171","          2.54","5,125","5,461","          0.94"
"서울특별시 중구 황학동(1114067000)","12,613","6,969","          1.81","6,025","6,588","          0.91"
"서울특별시 중구 중림동(1114068000)","12,310","5,803","          2.12","6,139","6,171","          0.99"
"서울특별시 용산구 (1117000000)","229,013","112,881","          2.03","110,181","118,832","          0.93"
"서울특별시 용산구 후암동(1117051000)","17,360","8,548","          2.03","8,418","8,942","          0.94"
"서울특별시 용산구 용산2가동(1117052000)","9,879","5,372","          1.84","4,758","5,121","          0.93"
"서울특별시 용산구 남영동(1117053000)","7,544","5,334","          1.41","4,604","2,940","          1.57"
"서울특별시 용산구 청파동(1117055500)","19,700","11,109","          1.77","9,223","10,477","          0.88"
"서울특별시 용산구 원효로제1동(1117056000)","16,099","8,089","          1.99","7,725","8,374","          0.92"
"서울특별시 용산구 원효로제2동(1117057000)","14,140","6,111","          2.31","6,652","7,488","          0.89"
"서울특별시 용산구 효창동(1117058000)","10,251","4,405","          2.33","4,849","5,402","          0.90"
"서울특별시 용산구 용문동(1117059000)","12,207","5,419","          2.25","5,824","6,383","          0.91"
"서울특별시 용산구 한강로동(1117062500)","21,596","11,575","          1.87","10,334","11,262","          0.92"
"서울특별시 용산구 이촌제1동(1117063000)","27,739","10,138","          2.74","13,006","14,733","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","8,547","3,754","          2.28","4,019","4,528","          0.89"
"서울특별시 용산구 이태원제1동(1117065000)","6,822","3,892","          1.75","3,281","3,541","          0.93"
"서울특별시 용산구 이태원제2동(1117066000)","9,193","4,994","          1.84","4,247","4,946","          0.86"
"서울특별시 용산구 한남동(1117068500)","20,778","11,159","          1.86","10,011","10,767","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","13,105","5,296","          2.47","6,281","6,824","          0.92"
"서울특별시 용산구 보광동(1117070000)","14,053","7,686","          1.83","6,949","7,104","          0.98"
"서울특별시 성동구 (1120000000)","291,906","135,883","          2.15","142,506","149,400","          0.95"
"서울특별시 성동구 왕십리제2동(1120052000)","16,922","7,608","          2.22","8,202","8,720","          0.94"
"서울특별시 성동구 왕십리도선동(1120053500)","26,798","11,960","          2.24","12,770","14,028","          0.91"
"서울특별시 성동구 마장동(1120054000)","22,636","10,899","          2.08","11,191","11,445","          0.98"
"서울특별시 성동구 사근동(1120055000)","11,956","7,872","          1.52","6,136","5,820","          1.05"
"서울특별시 성동구 행당제1동(1120056000)","14,089","6,495","          2.17","6,816","7,273","          0.94"
"서울특별시 성동구 행당제2동(1120057000)","23,836","9,411","          2.53","11,163","12,673","          0.88"
"서울특별시 성동구 응봉동(1120058000)","15,671","6,106","          2.57","7,434","8,237","          0.90"
"서울특별시 성동구 금호1가동(1120059000)","15,634","6,704","          2.33","7,477","8,157","          0.92"
"서울특별시 성동구 금호2.3가동(1120061500)","23,187","10,284","          2.25","11,048","12,139","          0.91"
"서울특별시 성동구 금호4가동(1120062000)","14,589","6,448","          2.26","6,951","7,638","          0.91"
"서울특별시 성동구 옥수동(1120064500)","26,489","11,064","          2.39","12,343","14,146","          0.87"
"서울특별시 성동구 성수1가제1동(1120065000)","16,869","7,831","          2.15","8,433","8,436","          1.00"
"서울특별시 성동구 성수1가제2동(1120066000)","13,191","6,430","          2.05","6,495","6,696","          0.97"
"서울특별시 성동구 성수2가제1동(1120067000)","16,381","8,410","          1.95","8,570","7,811","          1.10"
"서울특별시 성동구 성수2가제3동(1120069000)","11,124","5,710","          1.95","5,631","5,493","          1.03"
"서울특별시 성동구 송정동(1120072000)","10,633","5,588","          1.90","5,621","5,012","          1.12"
"서울특별시 성동구 용답동(1120079000)","11,901","7,063","          1.68","6,225","5,676","          1.10"
"서울특별시 광진구 (1121500000)","343,392","166,638","          2.06","165,747","177,645","          0.93"
"서울특별시 광진구 화양동(1121571000)","22,746","17,253","          1.32","10,808","11,938","          0.91"
"서울특별시 광진구 군자동(1121573000)","19,793","11,205","          1.77","9,766","10,027","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,561","8,281","          1.88","7,570","7,991","          0.95"
"서울특별시 광진구 중곡제2동(1121575000)","21,734","10,566","          2.06","10,267","11,467","          0.90"
"서울특별시 광진구 중곡제3동(1121576000)","16,451","8,498","          1.94","8,151","8,300","          0.98"
"서울특별시 광진구 중곡제4동(1121577000)","28,962","13,123","          2.21","14,184","14,778","          0.96"
"서울특별시 광진구 능동(1121578000)","11,423","6,424","          1.78","5,239","6,184","          0.85"
"서울특별시 광진구 광장동(1121581000)","35,180","11,992","          2.93","17,016","18,164","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","22,591","11,826","          1.91","10,900","11,691","          0.93"
"서울특별시 광진구 자양제2동(1121583000)","25,308","11,111","          2.28","12,317","12,991","          0.95"
"서울특별시 광진구 자양제3동(1121584000)","28,530","11,141","          2.56","13,687","14,843","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","17,529","9,400","          1.86","8,753","8,776","          1.00"
"서울특별시 광진구 구의제1동(1121585000)","21,862","12,149","          1.80","10,447","11,415","          0.92"
"서울특별시 광진구 구의제2동(1121586000)","26,666","11,536","          2.31","12,852","13,814","          0.93"
"서울특별시 광진구 구의제3동(1121587000)","29,056","12,133","          2.39","13,790","15,266","          0.90"
"서울특별시 동대문구 (1123000000)","338,875","165,924","          2.04","167,895","170,980","          0.98"
"서울특별시 동대문구 용신동(1123053600)","31,006","18,359","          1.69","15,727","15,279","          1.03"
"서울특별시 동대문구 제기동(1123054500)","24,690","13,177","          1.87","12,679","12,011","          1.06"
"서울특별시 동대문구 전농제1동(1123056000)","29,536","14,829","          1.99","14,821","14,715","          1.01"
"서울특별시 동대문구 전농제2동(1123057000)","18,954","7,675","          2.47","9,130","9,824","          0.93"
"서울특별시 동대문구 답십리제1동(1123060000)","29,052","12,956","          2.24","14,061","14,991","          0.94"
"서울특별시 동대문구 답십리제2동(1123061000)","28,842","12,700","          2.27","14,042","14,800","          0.95"
"서울특별시 동대문구 장안제1동(1123065000)","38,445","18,226","          2.11","19,124","19,321","          0.99"
"서울특별시 동대문구 장안제2동(1123066000)","32,698","13,919","          2.35","16,365","16,333","          1.00"
"서울특별시 동대문구 청량리동(1123070500)","19,256","9,746","          1.98","9,613","9,643","          1.00"
"서울특별시 동대문구 회기동(1123071000)","10,397","6,300","          1.65","4,973","5,424","          0.92"
"서울특별시 동대문구 휘경제1동(1123072000)","13,667","7,297","          1.87","6,581","7,086","          0.93"
"서울특별시 동대문구 휘경제2동(1123073000)","24,114","11,830","          2.04","11,996","12,118","          0.99"
"서울특별시 동대문구 이문제1동(1123074000)","18,015","10,245","          1.76","9,006","9,009","          1.00"
"서울특별시 동대문구 이문제2동(1123075000)","20,203","8,665","          2.33","9,777","10,426","          0.94"
"서울특별시 중랑구 (1126000000)","392,041","185,506","          2.11","193,752","198,289","          0.98"
"서울특별시 중랑구 면목제2동(1126052000)","24,704","12,341","          2.00","12,302","12,402","          0.99"
"서울특별시 중랑구 면목제4동(1126054000)","19,224","9,112","          2.11","9,590","9,634","          1.00"
"서울특별시 중랑구 면목제5동(1126055000)","14,601","6,365","          2.29","7,386","7,215","          1.02"
"서울특별시 중랑구 면목본동(1126056500)","34,247","17,778","          1.93","17,015","17,232","          0.99"
"서울특별시 중랑구 면목제7동(1126057000)","22,143","10,649","          2.08","11,120","11,023","          1.01"
"서울특별시 중랑구 면목제3.8동(1126057500)","25,358","12,704","          2.00","12,613","12,745","          0.99"
"서울특별시 중랑구 상봉제1동(1126058000)","24,639","10,363","          2.38","12,027","12,612","          0.95"
"서울특별시 중랑구 상봉제2동(1126059000)","20,113","11,942","          1.68","9,730","10,383","          0.94"
"서울특별시 중랑구 중화제1동(1126060000)","20,058","9,121","          2.20","9,825","10,233","          0.96"
"서울특별시 중랑구 중화제2동(1126061000)","25,267","13,700","          1.84","12,979","12,288","          1.06"
"서울특별시 중랑구 묵제1동(1126062000)","35,072","14,928","          2.35","16,958","18,114","          0.94"
"서울특별시 중랑구 묵제2동(1126063000)","19,318","9,382","          2.06","9,515","9,803","          0.97"
"서울특별시 중랑구 망우본동(1126065500)","30,229","15,000","          2.02","15,145","15,084","          1.00"
"서울특별시 중랑구 망우제3동(1126066000)","16,979","8,425","          2.02","8,531","8,448","          1.01"
"서울특별시 중랑구 신내1동(1126068000)","39,098","14,639","          2.67","19,032","20,066","          0.95"
"서울특별시 중랑구 신내2동(1126069000)","20,991","9,057","          2.32","9,984","11,007","          0.91"
"서울특별시 성북구 (1129000000)","434,826","193,965","          2.24","209,902","224,924","          0.93"
"서울특별시 성북구 성북동(1129052500)","16,711","8,161","          2.05","7,789","8,922","          0.87"
"서울특별시 성북구 삼선동(1129055500)","23,153","11,536","          2.01","11,030","12,123","          0.91"
"서울특별시 성북구 동선동(1129057500)","15,507","9,353","          1.66","6,523","8,984","          0.73"
"서울특별시 성북구 돈암제1동(1129058000)","14,983","6,140","          2.44","7,012","7,971","          0.88"
"서울특별시 성북구 돈암제2동(1129059000)","24,322","8,650","          2.81","11,539","12,783","          0.90"
"서울특별시 성북구 안암동(1129060000)","14,944","9,269","          1.61","7,535","7,409","          1.02"
"서울특별시 성북구 보문동(1129061000)","15,556","7,722","          2.01","7,512","8,044","          0.93"
"서울특별시 성북구 정릉제1동(1129062000)","18,413","7,385","          2.49","8,866","9,547","          0.93"
"서울특별시 성북구 정릉제2동(1129063000)","23,261","9,798","          2.37","11,303","11,958","          0.95"
"서울특별시 성북구 정릉제3동(1129064000)","15,186","7,817","          1.94","7,532","7,654","          0.98"
"서울특별시 성북구 정릉제4동(1129065000)","25,295","10,840","          2.33","12,255","13,040","          0.94"
"서울특별시 성북구 길음제1동(1129066000)","35,766","12,519","          2.86","17,014","18,752","          0.91"
"서울특별시 성북구 길음제2동(1129068500)","16,642","6,911","          2.41","8,034","8,608","          0.93"
"서울특별시 성북구 종암동(1129070500)","39,187","17,098","          2.29","19,385","19,802","          0.98"
"서울특별시 성북구 월곡제1동(1129071500)","26,668","10,777","          2.47","12,888","13,780","          0.94"
"서울특별시 성북구 월곡제2동(1129072500)","19,720","9,545","          2.07","9,501","10,219","          0.93"
"서울특별시 성북구 장위제1동(1129076000)","24,100","10,471","          2.30","11,821","12,279","          0.96"
"서울특별시 성북구 장위제2동(1129077000)","13,716","6,547","          2.10","6,783","6,933","          0.98"
"서울특별시 성북구 장위제3동(1129078000)","16,398","6,703","          2.45","8,100","8,298","          0.98"
"서울특별시 성북구 석관동(1129081000)","35,298","16,723","          2.11","17,480","17,818","          0.98"
"서울특별시 강북구 (1130500000)","304,078","144,410","          2.11","148,306","155,772","          0.95"
"서울특별시 강북구 삼양동(1130553400)","24,196","11,199","          2.16","12,057","12,139","          0.99"
"서울특별시 강북구 미아동(1130553500)","21,974","11,736","          1.87","10,626","11,348","          0.94"
"서울특별시 강북구 송중동(1130554500)","29,933","13,925","          2.15","14,402","15,531","          0.93"
"서울특별시 강북구 송천동(1130555500)","27,040","13,649","          1.98","13,445","13,595","          0.99"
"서울특별시 강북구 삼각산동(1130557500)","31,503","11,490","          2.74","15,134","16,369","          0.92"
"서울특별시 강북구 번1동(1130559500)","18,706","10,314","          1.81","9,432","9,274","          1.02"
"서울특별시 강북구 번2동(1130560300)","16,213","7,615","          2.13","7,846","8,367","          0.94"
"서울특별시 강북구 번3동(1130560800)","17,209","7,508","          2.29","8,079","9,130","          0.88"
"서울특별시 강북구 수유1동(1130561500)","20,963","10,338","          2.03","10,399","10,564","          0.98"
"서울특별시 강북구 수유2동(1130562500)","21,441","9,749","          2.20","10,279","11,162","          0.92"
"서울특별시 강북구 수유3동(1130563500)","23,276","12,907","          1.80","11,565","11,711","          0.99"
"서울특별시 강북구 우이동(1130564500)","20,691","9,509","          2.18","10,058","10,633","          0.95"
"서울특별시 강북구 인수동(1130566000)","30,933","14,471","          2.14","14,984","15,949","          0.94"
"서울특별시 도봉구 (1132000000)","321,717","138,120","          2.33","156,810","164,907","          0.95"
"서울특별시 도봉구 창제1동(1132051100)","25,013","10,870","          2.30","11,897","13,116","          0.91"
"서울특별시 도봉구 창제2동(1132051200)","29,385","12,428","          2.36","14,340","15,045","          0.95"
"서울특별시 도봉구 창제3동(1132051300)","14,153","6,570","          2.15","7,088","7,065","          1.00"
"서울특별시 도봉구 창제4동(1132051400)","26,960","10,747","          2.51","12,954","14,006","          0.92"
"서울특별시 도봉구 창제5동(1132051500)","24,944","10,214","          2.44","11,969","12,975","          0.92"
"서울특별시 도봉구 도봉제1동(1132052100)","21,333","10,303","          2.07","10,796","10,537","          1.02"
"서울특별시 도봉구 도봉제2동(1132052200)","27,401","11,957","          2.29","13,370","14,031","          0.95"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,690","9,432","          2.30","10,452","11,238","          0.93"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,921","8,533","          2.22","9,116","9,805","          0.93"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,734","7,901","          2.12","8,111","8,623","          0.94"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,928","7,114","          2.66","8,931","9,997","          0.89"
"서울특별시 도봉구 방학제1동(1132069000)","28,717","12,678","          2.27","14,284","14,433","          0.99"
"서울특별시 도봉구 방학제2동(1132070000)","19,946","9,376","          2.13","10,086","9,860","          1.02"
"서울특별시 도봉구 방학제3동(1132071000)","27,592","9,997","          2.76","13,416","14,176","          0.95"
"서울특별시 노원구 (1135000000)","518,278","217,272","          2.39","249,942","268,336","          0.93"
"서울특별시 노원구 월계1동(1135056000)","21,973","10,298","          2.13","11,320","10,653","          1.06"
"서울특별시 노원구 월계2동(1135057000)","27,195","11,982","          2.27","13,127","14,068","          0.93"
"서울특별시 노원구 월계3동(1135058000)","30,259","12,940","          2.34","14,443","15,816","          0.91"
"서울특별시 노원구 공릉1동(1135059500)","37,312","18,206","          2.05","18,175","19,137","          0.95"
"서울특별시 노원구 공릉2동(1135060000)","39,315","16,418","          2.39","19,137","20,178","          0.95"
"서울특별시 노원구 하계1동(1135061100)","27,164","11,560","          2.35","13,043","14,121","          0.92"
"서울특별시 노원구 하계2동(1135061200)","22,418","8,252","          2.72","10,679","11,739","          0.91"
"서울특별시 노원구 중계본동(1135061900)","24,571","8,554","          2.87","12,027","12,544","          0.96"
"서울특별시 노원구 중계1동(1135062100)","27,121","8,965","          3.03","13,198","13,923","          0.95"
"서울특별시 노원구 중계4동(1135062400)","20,450","8,410","          2.43","9,877","10,573","          0.93"
"서울특별시 노원구 중계2.3동(1135062500)","34,931","15,288","          2.28","16,091","18,840","          0.85"
"서울특별시 노원구 상계1동(1135063000)","38,725","15,588","          2.48","18,790","19,935","          0.94"
"서울특별시 노원구 상계2동(1135064000)","20,304","8,720","          2.33","10,037","10,267","          0.98"
"서울특별시 노원구 상계3.4동(1135066500)","26,842","12,183","          2.20","13,339","13,503","          0.99"
"서울특별시 노원구 상계5동(1135067000)","24,375","10,892","          2.24","11,861","12,514","          0.95"
"서울특별시 노원구 상계6.7동(1135069500)","33,125","13,885","          2.39","15,355","17,770","          0.86"
"서울특별시 노원구 상계8동(1135070000)","22,740","9,180","          2.48","10,936","11,804","          0.93"
"서울특별시 노원구 상계9동(1135071000)","20,862","8,416","          2.48","9,917","10,945","          0.91"
"서울특별시 노원구 상계10동(1135072000)","18,596","7,535","          2.47","8,590","10,006","          0.86"
"서울특별시 은평구 (1138000000)","475,501","212,725","          2.24","227,910","247,591","          0.92"
"서울특별시 은평구 녹번동(1138051000)","37,143","17,488","          2.12","17,686","19,457","          0.91"
"서울특별시 은평구 불광제1동(1138052000)","39,168","17,712","          2.21","18,535","20,633","          0.90"
"서울특별시 은평구 불광제2동(1138053000)","28,161","13,983","          2.01","13,640","14,521","          0.94"
"서울특별시 은평구 갈현제1동(1138055100)","22,791","11,026","          2.07","11,121","11,670","          0.95"
"서울특별시 은평구 갈현제2동(1138055200)","28,612","12,643","          2.26","13,549","15,063","          0.90"
"서울특별시 은평구 구산동(1138056000)","32,323","13,178","          2.45","15,962","16,361","          0.98"
"서울특별시 은평구 대조동(1138057000)","27,186","14,416","          1.89","12,663","14,523","          0.87"
"서울특별시 은평구 응암제1동(1138058000)","30,773","14,008","          2.20","14,579","16,194","          0.90"
"서울특별시 은평구 응암제2동(1138059000)","27,572","11,052","          2.49","13,380","14,192","          0.94"
"서울특별시 은평구 응암제3동(1138060000)","24,897","12,595","          1.98","12,148","12,749","          0.95"
"서울특별시 은평구 역촌동(1138062500)","46,127","20,737","          2.22","21,754","24,373","          0.89"
"서울특별시 은평구 신사제1동(1138063100)","27,309","11,784","          2.32","13,203","14,106","          0.94"
"서울특별시 은평구 신사제2동(1138063200)","20,591","8,970","          2.30","10,296","10,295","          1.00"
"서울특별시 은평구 증산동(1138064000)","15,144","6,786","          2.23","7,368","7,776","          0.95"
"서울특별시 은평구 수색동(1138065000)","11,230","4,781","          2.35","5,536","5,694","          0.97"
"서울특별시 은평구 진관동(1138069000)","56,474","21,566","          2.62","26,490","29,984","          0.88"
"서울특별시 서대문구 (1141000000)","308,482","143,180","          2.15","147,655","160,827","          0.92"
"서울특별시 서대문구 천연동(1141052000)","17,366","7,808","          2.22","8,246","9,120","          0.90"
"서울특별시 서대문구 북아현동(1141055500)","16,366","7,327","          2.23","7,845","8,521","          0.92"
"서울특별시 서대문구 충현동(1141056500)","20,597","10,268","          2.01","9,900","10,697","          0.93"
"서울특별시 서대문구 신촌동(1141058500)","19,229","13,390","          1.44","8,535","10,694","          0.80"
"서울특별시 서대문구 연희동(1141061500)","35,723","18,723","          1.91","17,215","18,508","          0.93"
"서울특별시 서대문구 홍제제1동(1141062000)","24,004","10,358","          2.32","11,297","12,707","          0.89"
"서울특별시 서대문구 홍제제3동(1141064000)","15,576","7,066","          2.20","7,550","8,026","          0.94"
"서울특별시 서대문구 홍제제2동(1141065500)","14,003","5,829","          2.40","6,637","7,366","          0.90"
"서울특별시 서대문구 홍은제1동(1141066000)","22,867","9,638","          2.37","11,034","11,833","          0.93"
"서울특별시 서대문구 홍은제2동(1141068500)","26,772","12,257","          2.18","12,928","13,844","          0.93"
"서울특별시 서대문구 남가좌제1동(1141069000)","15,634","5,733","          2.73","7,534","8,100","          0.93"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,704","13,158","          2.26","14,344","15,360","          0.93"
"서울특별시 서대문구 북가좌제1동(1141071000)","18,330","6,924","          2.65","8,848","9,482","          0.93"
"서울특별시 서대문구 북가좌제2동(1141072000)","32,311","14,701","          2.20","15,742","16,569","          0.95"
"서울특별시 마포구 (1144000000)","368,518","177,170","          2.08","173,624","194,894","          0.89"
"서울특별시 마포구 아현동(1144055500)","25,549","10,455","          2.44","11,999","13,550","          0.89"
"서울특별시 마포구 공덕동(1144056500)","37,549","18,416","          2.04","17,709","19,840","          0.89"
"서울특별시 마포구 도화동(1144058500)","21,443","9,322","          2.30","10,298","11,145","          0.92"
"서울특별시 마포구 용강동(1144059000)","21,735","9,271","          2.34","10,249","11,486","          0.89"
"서울특별시 마포구 대흥동(1144060000)","14,415","8,396","          1.72","6,982","7,433","          0.94"
"서울특별시 마포구 염리동(1144061000)","12,535","5,936","          2.11","6,046","6,489","          0.93"
"서울특별시 마포구 신수동(1144063000)","22,839","10,060","          2.27","11,095","11,744","          0.94"
"서울특별시 마포구 서강동(1144065500)","24,868","11,918","          2.09","11,833","13,035","          0.91"
"서울특별시 마포구 서교동(1144066000)","25,034","15,293","          1.64","11,469","13,565","          0.85"
"서울특별시 마포구 합정동(1144068000)","17,735","9,544","          1.86","8,237","9,498","          0.87"
"서울특별시 마포구 망원제1동(1144069000)","20,601","10,434","          1.97","9,692","10,909","          0.89"
"서울특별시 마포구 망원제2동(1144070000)","18,794","8,495","          2.21","8,832","9,962","          0.89"
"서울특별시 마포구 연남동(1144071000)","15,404","8,774","          1.76","7,282","8,122","          0.90"
"서울특별시 마포구 성산제1동(1144072000)","19,134","9,347","          2.05","8,995","10,139","          0.89"
"서울특별시 마포구 성산제2동(1144073000)","39,978","18,939","          2.11","18,168","21,810","          0.83"
"서울특별시 마포구 상암동(1144074000)","30,905","12,570","          2.46","14,738","16,167","          0.91"
"서울특별시 양천구 (1147000000)","452,677","180,682","          2.51","222,010","230,667","          0.96"
"서울특별시 양천구 목1동(1147051000)","31,274","10,488","          2.98","14,999","16,275","          0.92"
"서울특별시 양천구 목2동(1147052000)","30,212","13,236","          2.28","14,702","15,510","          0.95"
"서울특별시 양천구 목3동(1147053000)","22,242","10,067","          2.21","10,655","11,587","          0.92"
"서울특별시 양천구 목4동(1147054000)","25,768","10,117","          2.55","12,587","13,181","          0.95"
"서울특별시 양천구 목5동(1147055000)","41,823","13,519","          3.09","20,739","21,084","          0.98"
"서울특별시 양천구 신월1동(1147056000)","20,689","10,163","          2.04","10,619","10,070","          1.05"
"서울특별시 양천구 신월2동(1147057000)","20,987","8,503","          2.47","10,269","10,718","          0.96"
"서울특별시 양천구 신월3동(1147058000)","15,452","7,914","          1.95","8,144","7,308","          1.11"
"서울특별시 양천구 신월4동(1147059000)","18,225","6,920","          2.63","8,933","9,292","          0.96"
"서울특별시 양천구 신월5동(1147060000)","14,903","6,459","          2.31","7,357","7,546","          0.97"
"서울특별시 양천구 신월6동(1147061000)","13,789","5,227","          2.64","6,785","7,004","          0.97"
