"행정구역","2021년03월_총인구수","2021년03월_세대수","2021년03월_세대당 인구","2021년03월_남자 인구수","2021년03월_여자 인구수","2021년03월_남여 비율"
"경기도 양평군 용문면(4183040000)","17,717","8,356","          2.12","8,910","8,807","          1.01"
"경기도 양평군 개군면(4183041000)","5,169","2,648","          1.95","2,614","2,555","          1.02"
"강원도  (4200000000)","1,536,399","735,644","          2.09","773,248","763,151","          1.01"
"강원도 춘천시 (4211000000)","282,328","126,993","          2.22","139,420","142,908","          0.98"
"강원도 춘천시 신북읍(4211025000)","7,631","3,620","          2.11","3,832","3,799","          1.01"
"강원도 춘천시 동면(4211031000)","19,728","7,892","          2.50","9,777","9,951","          0.98"
"강원도 춘천시 동산면(4211032000)","1,464","783","          1.87","799","665","          1.20"
"강원도 춘천시 신동면(4211033000)","2,562","1,162","          2.20","1,319","1,243","          1.06"
"강원도 춘천시 남면(4211034000)","1,072","651","          1.65","580","492","          1.18"
"강원도 춘천시 서면(4211035000)","3,786","1,967","          1.92","1,940","1,846","          1.05"
"강원도 춘천시 사북면(4211036000)","2,531","1,459","          1.73","1,255","1,276","          0.98"
"강원도 춘천시 북산면(4211038000)","944","604","          1.56","519","425","          1.22"
"강원도 춘천시 동내면(4211039000)","17,307","7,692","          2.25","8,641","8,666","          1.00"
"강원도 춘천시 남산면(4211040000)","3,470","1,970","          1.76","1,828","1,642","          1.11"
"강원도 춘천시 교동(4211052000)","3,579","2,262","          1.58","1,851","1,728","          1.07"
"강원도 춘천시 조운동(4211053000)","2,770","1,617","          1.71","1,350","1,420","          0.95"
"강원도 춘천시 약사명동(4211054500)","2,185","1,129","          1.94","1,062","1,123","          0.95"
"강원도 춘천시 근화동(4211057000)","8,662","4,112","          2.11","4,385","4,277","          1.03"
"강원도 춘천시 소양동(4211058000)","9,494","4,251","          2.23","4,609","4,885","          0.94"
"강원도 춘천시 후평1동(4211060000)","11,790","6,177","          1.91","5,853","5,937","          0.99"
"강원도 춘천시 후평2동(4211061000)","14,918","6,373","          2.34","7,120","7,798","          0.91"
"강원도 춘천시 후평3동(4211061100)","21,211","9,106","          2.33","10,099","11,112","          0.91"
"강원도 춘천시 효자1동(4211062000)","4,516","1,983","          2.28","2,257","2,259","          1.00"
"강원도 춘천시 효자2동(4211063000)","11,922","7,414","          1.61","6,337","5,585","          1.13"
"강원도 춘천시 효자3동(4211064000)","4,467","2,639","          1.69","2,247","2,220","          1.01"
"강원도 춘천시 석사동(4211065000)","35,201","14,936","          2.36","17,251","17,950","          0.96"
"강원도 춘천시 퇴계동(4211066000)","49,676","19,756","          2.51","23,916","25,760","          0.93"
"강원도 춘천시 강남동(4211067500)","19,099","8,277","          2.31","9,343","9,756","          0.96"
"강원도 춘천시 신사우동(4211070500)","22,343","9,161","          2.44","11,250","11,093","          1.01"
"강원도 원주시 (4213000000)","354,437","161,044","          2.20","175,816","178,621","          0.98"
"강원도 원주시 문막읍(4213025000)","17,645","8,526","          2.07","9,023","8,622","          1.05"
"강원도 원주시 소초면(4213031000)","8,507","4,366","          1.95","4,465","4,042","          1.10"
"강원도 원주시 호저면(4213032000)","3,695","1,893","          1.95","1,945","1,750","          1.11"
"강원도 원주시 지정면(4213033000)","28,363","11,483","          2.47","13,975","14,388","          0.97"
"강원도 원주시 부론면(4213035000)","2,251","1,257","          1.79","1,155","1,096","          1.05"
"강원도 원주시 귀래면(4213036000)","2,178","1,180","          1.85","1,107","1,071","          1.03"
"강원도 원주시 흥업면(4213037000)","8,596","4,715","          1.82","4,525","4,071","          1.11"
"강원도 원주시 판부면(4213038000)","7,248","3,690","          1.96","3,833","3,415","          1.12"
"강원도 원주시 신림면(4213039000)","3,547","1,990","          1.78","1,814","1,733","          1.05"
"강원도 원주시 중앙동(4213051500)","2,673","1,721","          1.55","1,438","1,235","          1.16"
"강원도 원주시 원인동(4213052000)","5,099","2,683","          1.90","2,451","2,648","          0.93"
"강원도 원주시 개운동(4213053000)","12,711","5,691","          2.23","6,088","6,623","          0.92"
"강원도 원주시 명륜1동(4213054100)","8,538","3,752","          2.28","4,108","4,430","          0.93"
"강원도 원주시 명륜2동(4213054200)","15,500","7,455","          2.08","7,515","7,985","          0.94"
"강원도 원주시 단구동(4213055000)","44,272","19,303","          2.29","21,736","22,536","          0.96"
"강원도 원주시 일산동(4213056000)","8,588","4,429","          1.94","4,186","4,402","          0.95"
"강원도 원주시 학성동(4213057500)","4,735","2,450","          1.93","2,357","2,378","          0.99"
"강원도 원주시 단계동(4213059000)","28,831","12,994","          2.22","14,007","14,824","          0.94"
"강원도 원주시 우산동(4213060000)","13,556","6,409","          2.12","7,141","6,415","          1.11"
"강원도 원주시 태장1동(4213061000)","10,106","4,592","          2.20","5,066","5,040","          1.01"
"강원도 원주시 태장2동(4213062000)","24,853","11,198","          2.22","12,380","12,473","          0.99"
"강원도 원주시 봉산동(4213063500)","8,099","3,839","          2.11","4,022","4,077","          0.99"
"강원도 원주시 행구동(4213065000)","7,694","3,078","          2.50","3,820","3,874","          0.99"
"강원도 원주시 무실동(4213066000)","32,811","13,954","          2.35","16,092","16,719","          0.96"
"강원도 원주시 반곡관설동(4213067500)","44,341","18,396","          2.41","21,567","22,774","          0.95"
"강원도 강릉시 (4215000000)","212,909","101,652","          2.09","105,564","107,345","          0.98"
"강원도 강릉시 주문진읍(4215025000)","16,408","9,133","          1.80","8,015","8,393","          0.95"
"강원도 강릉시 성산면(4215031000)","3,426","1,677","          2.04","1,741","1,685","          1.03"
"강원도 강릉시 왕산면(4215032000)","1,594","912","          1.75","853","741","          1.15"
"강원도 강릉시 구정면(4215033000)","4,153","1,982","          2.10","2,117","2,036","          1.04"
