검색결과,
___광명6동(경기광명),2.44
___광명7동(경기광명),2.31
___철산1동(경기광명),0.55
___철산2동(경기광명),0.64
___철산3동(경기광명),1.35
___철산4동(경기광명),0.33
___하안1동(경기광명),3.92
___하안2동(경기광명),0.43
___하안3동(경기광명),0.58
___하안4동(경기광명),0.42
___소하1동(경기광명),3.81
___소하2동(경기광명),7.28
___학온동(경기광명),12.89
_평택시(경기),458.24
___팽성읍(경기평택),56.52
___안중읍(경기평택),28.57
___포승읍(경기평택),61.3
___청북읍(경기평택),52.56
___진위면(경기평택),34.03
___서탄면(경기평택),28.54
___고덕면(경기평택),38.13
___오성면(경기평택),32.51
___현덕면(경기평택),45.86
___중앙동(경기평택),5.31
___서정동(경기평택),2.41
___송탄동(경기평택),20.08
___지산동(경기평택),0.69
___송북동(경기평택),7.17
___신장1동(경기평택),1.61
___신장2동(경기평택),0.63
___신평동(경기평택),6.45
___원평동(경기평택),5.25
___통복동(경기평택),0.44
___비전1동(경기평택),15.55
___세교동(경기평택),7.24
___비전2동(경기평택),4.75
___용이동(경기평택),2.64
_동두천시(경기),95.66
___생연1동(경기동두천),2.16
___생연2동(경기동두천),0.72
___중앙동(경기동두천),0.85
___보산동(경기동두천),13.68
___불현동(경기동두천),33.37
___소요동(경기동두천),31.31
___상패동(경기동두천),8.05
___송내동(경기동두천),5.52
_안산시(경기),155.73
__상록구(경기안산),57.99
___일동(경기안산상록),2.74
___본오1동(경기안산상록),6.49
___본오2동(경기안산상록),0.82
___본오3동(경기안산상록),1.1
___부곡동(경기안산상록),6.22
___월피동(경기안산상록),5.55
___성포동(경기안산상록),1.71
___반월동(경기안산상록),13.24
___안산동(경기안산상록),8.36
___이동(경기안산상록),2.09
___사동(경기안산상록),2.34
___사이동(경기안산상록),3.65
___해양동(경기안산상록),3.68
__단원구(경기안산),97.74
___와동(경기안산단원),3.23
___초지동(경기안산단원),24.1
___선부1동(경기안산단원),0.86
___선부2동(경기안산단원),2.07
___선부3동(경기안산단원),5.81
___대부동(경기안산단원),45.94
___호수동(경기안산단원),2.48
___고잔동(경기안산단원),1.75
___중앙동(경기안산단원),1.87
___원곡동(경기안산단원),1.29
___신길동(경기안산단원),6.83
___백운동(경기안산단원),1.51
_고양시(경기),268.08
__덕양구(경기고양),165.57
___주교동(경기고양덕양),5.62
___원신동(경기고양덕양),12.74
___흥도동(경기고양덕양),11.32
___성사1동(경기고양덕양),2.19
___성사2동(경기고양덕양),0.92
___효자동(경기고양덕양),25.35
___창릉동(경기고양덕양),11.57
___고양동(경기고양덕양),25.04
___관산동(경기고양덕양),15.05
___능곡동(경기고양덕양),13.78
___화정1동(경기고양덕양),2.31
___화정2동(경기고양덕양),1.94
___행주동(경기고양덕양),6.01
___행신1동(경기고양덕양),0.69
___행신2동(경기고양덕양),4.28
___화전동(경기고양덕양),7.3
___대덕동(경기고양덕양),10.79
___행신3동(경기고양덕양),1.94
___삼송동(경기고양덕양),6.73
__일산동구(경기고양),59.95
___식사동(경기고양일산동),6.82
___중산동(경기고양일산동),2.84
___정발산동(경기고양일산동),1.53
___풍산동(경기고양일산동),5.67
___백석1동(경기고양일산동),1.77
___마두1동(경기고양일산동),2.21
___마두2동(경기고양일산동),0.63
___장항1동(경기고양일산동),10.28
___장항2동(경기고양일산동),2.41
___고봉동(경기고양일산동),24.99
___백석2동(경기고양일산동),0.8
__일산서구(경기고양),42.56
___일산1동(경기고양일산서),0.65
___일산2동(경기고양일산서),0.82
___일산3동(경기고양일산서),1.12
___탄현동(경기고양일산서),2.19
___주엽1동(경기고양일산서),0.97
___주엽2동(경기고양일산서),0.96
___대화동(경기고양일산서),3.52
___송포동(경기고양일산서),13.17
___송산동(경기고양일산서),19.16
_과천시(경기),35.87
___중앙동(경기과천),6.99
___갈현동(경기과천),4.36
___별양동(경기과천),0.68
___부림동(경기과천),0.37
___과천동(경기과천),10.78
___문원동(경기과천),12.69
_구리시(경기),33.33
___갈매동(경기구리),3.97
___동구동(경기구리),7.32
___인창동(경기구리),2.1
___교문1동(경기구리),7.56
___교문2동(경기구리),1.15
___수택1동(경기구리),1.26
___수택2동(경기구리),0.62
___수택3동(경기구리),9.35
_남양주시(경기),458.12
___와부읍(경기남양주),49.87
___진접읍(경기남양주),65.96
___화도읍(경기남양주),71.48
___진건읍(경기남양주),31.22
___오남읍(경기남양주),25.26
___퇴계원읍(경기남양주),3.27
___별내면(경기남양주),22.16
___수동면(경기남양주),72.73
___조안면(경기남양주),50.69
___호평동(경기남양주),9.15
___평내동(경기남양주),7.25
___금곡동(경기남양주),6.93
___양정동(경기남양주),12.35
___별내동(경기남양주),18.64
___다산1동(경기남양주),5.54
___다산2동(경기남양주),5.62
_오산시(경기),42.71
___중앙동(경기오산),3.66
___대원동(경기오산),6.2
___남촌동(경기오산),6.05
___신장동(경기오산),7.02
___세마동(경기오산),13.31
___초평동(경기오산),6.47
_시흥시(경기),138.66
___대야동(경기시흥),9.42
___신천동(경기시흥),3.44
___신현동(경기시흥),12.65
___은행동(경기시흥),6.41
___매화동(경기시흥),11.21
___목감동(경기시흥),17.56
___과림동(경기시흥),7.65
___정왕2동(경기시흥),7.27
___정왕3동(경기시흥),6.18
___정왕본동(경기시흥),9.97
___정왕1동(경기시흥),6.55
___능곡동(경기시흥),4.46
___군자동(경기시흥),8.04
___월곶동(경기시흥),8.53
___연성동(경기시흥),10.03
___장곡동(경기시흥),3.49
___정왕4동(경기시흥),0.9
___배곧동(경기시흥),4.9
_군포시(경기),36.42
___군포1동(경기군포),3.7
___군포2동(경기군포),5.89
___산본1동(경기군포),0.75
___산본2동(경기군포),1.17
___금정동(경기군포),1.26
___재궁동(경기군포),0.87
___오금동(경기군포),1.07
___수리동(경기군포),2.73
___궁내동(경기군포),1.68
___광정동(경기군포),1.9
___대야동(경기군포),15.39
_의왕시(경기),53.99
___고천동(경기의왕),8.89
___부곡동(경기의왕),11.27
___오전동(경기의왕),6.71
___내손1동(경기의왕),2.55
___내손2동(경기의왕),2.51
___청계동(경기의왕),22.06
_하남시(경기),92.99
___천현동(경기하남),34.92
___신장1동(경기하남),0.24
___신장2동(경기하남),4.12
___덕풍1동(경기하남),1
___덕풍2동(경기하남),0.51
___덕풍3동(경기하남),2.01
___춘궁동(경기하남),14.49
___초이동(경기하남),6.13
___풍산동(경기하남),2.68
___미사1동(경기하남),6.87
___미사2동(경기하남),5.05
___감북동(경기하남),10.51
___위례동(경기하남),4.46
_용인시(경기),591.26
__처인구(경기용인),467.52
___포곡읍(경기용인처인),41.76
___모현읍(경기용인처인),50.27
___이동읍(경기용인처인),75.65
___남사면(경기용인처인),58.67
___원삼면(경기용인처인),60.14
___백암면(경기용인처인),65.73
___양지면(경기용인처인),57.69
___중앙동(경기용인처인),7.98
___역삼동(경기용인처인),12.47
___유림동(경기용인처인),13.63
___동부동(경기용인처인),23.53
__기흥구(경기용인),81.64
___구갈동(경기용인기흥),4.21
___상갈동(경기용인기흥),12.15
___기흥동(경기용인기흥),11.71
___서농동(경기용인기흥),4.22
___구성동(경기용인기흥),6.9
___마북동(경기용인기흥),5.39
___동백동(경기용인기흥),10.35
___보정동(경기용인기흥),6.82
___상하동(경기용인기흥),5.53
___신갈동(경기용인기흥),4.84
___영덕동(경기용인기흥),9.52
__수지구(경기용인),42.1
___풍덕천1동(경기용인수지),1.94
___풍덕천2동(경기용인수지),1.47
___신봉동(경기용인수지),6.7
___죽전1동(경기용인수지),3.09
___죽전2동(경기용인수지),2.44
___동천동(경기용인수지),16.59
___상현1동(경기용인수지),2.96
___상현2동(경기용인수지),1.97
___성복동(경기용인수지),4.94
_파주시(경기),673.23
___문산읍(경기파주),47.22
___파주읍(경기파주),32.26
___법원읍(경기파주),71.34
___조리읍(경기파주),27.52
___진동면(경기파주),43.06
___장단면(경기파주),34.2
___진서면(경기파주),9.21
___월롱면(경기파주),27.14
___탄현면(경기파주),61.74
___광탄면(경기파주),65.53
___파평면(경기파주),41.86
___적성면(경기파주),88.91
___군내면(경기파주),43.27
___금촌2동(경기파주),2.72
___금촌1동(경기파주),4.52
___금촌3동(경기파주),17.02
___교하동(경기파주),36.88
___운정1동(경기파주),9.69
___운정2동(경기파주),3.23
___운정3동(경기파주),5.91
_이천시(경기),461.42
___장호원읍(경기이천),60.42
___부발읍(경기이천),41.87
___신둔면(경기이천),36.46
___백사면(경기이천),32.56
___호법면(경기이천),37.94
___마장면(경기이천),51.39
___대월면(경기이천),31.45
___모가면(경기이천),41
___설성면(경기이천),51.69
___율면(경기이천),36.77
___창전동(경기이천),1.13
___중리동(경기이천),22.05
___관고동(경기이천),7.77
___증포동(경기이천),8.92
_안성시(경기),553.42
___공도읍(경기안성),31.93
___보개면(경기안성),53.01
___금광면(경기안성),71.67
___서운면(경기안성),36.35
___미양면(경기안성),33.64
___대덕면(경기안성),31.17
___양성면(경기안성),53.14
___원곡면(경기안성),37.87
___일죽면(경기안성),55.55
___죽산면(경기안성),57.27
___삼죽면(경기안성),39.07
___고삼면(경기안성),27.79
___안성1동(경기안성),6.55
___안성2동(경기안성),10.14
___안성3동(경기안성),8.27
_김포시(경기),276.61
___통진읍(경기김포),29.49
___고촌읍(경기김포),25.03
___양촌읍(경기김포),33.66
___대곶면(경기김포),42.75
___월곶면(경기김포),51.95
___하성면(경기김포),54.84
___사우동(경기김포),3.32
___풍무동(경기김포),4.39
___장기동(경기김포),5.56
___운양동(경기김포),7.99
___김포본동(경기김포),11.81
___장기본동(경기김포),0.68
___구래동(경기김포),2.12
___마산동(경기김포),3.02
_화성시(경기),697.77
___봉담읍(경기화성),42.75
___우정읍(경기화성),61.67
___향남읍(경기화성),50.01
___남양읍(경기화성),67.38
___매송면(경기화성),27.27
___비봉면(경기화성),38.55
___마도면(경기화성),31.89
___송산면(경기화성),58.36
___서신면(경기화성),43.27
___팔탄면(경기화성),50.95
___장안면(경기화성),67.66
___양감면(경기화성),31.06
___정남면(경기화성),40.67
___진안동(경기화성),6.87
___병점1동(경기화성),1.45
___병점2동(경기화성),1.04
___반월동(경기화성),3.96
___기배동(경기화성),4.23
___화산동(경기화성),11.61
___동탄2동(경기화성),2.15
___동탄1동(경기화성),5.1
___동탄3동(경기화성),2.06
___동탄4동(경기화성),4.24
___동탄5동(경기화성),11.41
___새솔동(경기화성),1.45
___동탄7동(경기화성),14.68
___동탄6동(경기화성),9.49
___동탄8동(경기화성),6.54
_광주시(경기),430.99
___오포읍(경기광주),46.92
___초월읍(경기광주),55.9
___곤지암읍(경기광주),76.16
___도척면(경기광주),52.16
___퇴촌면(경기광주),60.7
___남종면(경기광주),48.57
___남한산성면(경기광주),33.74
___경안동(경기광주),6.53
___송정동(경기광주),21.88
___광남동(경기광주),28.43
_양주시(경기),310.39
___백석읍(경기양주),41.49
___은현면(경기양주),34.54
___남면(경기양주),36.53
___광적면(경기양주),48.44
___장흥면(경기양주),63.62
___양주1동(경기양주),23.64
___양주2동(경기양주),19.09
___회천1동(경기양주),9.82
___회천2동(경기양주),11.15
___회천3동(경기양주),4.31
___회천4동(경기양주),17.76
_포천시(경기),826.96
___소흘읍(경기포천),46.28
___군내면(경기포천),36.17
___내촌면(경기포천),52.75
___가산면(경기포천),35.91
___신북면(경기포천),95.98
___창수면(경기포천),71.74
___영중면(경기포천),61.31
___일동면(경기포천),83.38
___이동면(경기포천),112.9
___영북면(경기포천),81.69
___관인면(경기포천),70.01
___화현면(경기포천),43.58
___포천동(경기포천),11.35
___선단동(경기포천),23.91
_여주시(경기),608.3
___가남읍(경기여주시),75.29
___점동면(경기여주시),71.8
___능서면(경기여주시),52.99
___흥천면(경기여주시),44.15
___금사면(경기여주시),41.79
___산북면(경기여주시),32.82
___대신면(경기여주시),75.86
___북내면(경기여주시),65.8
___강천면(경기여주시),74.41
___여흥동(경기여주시),38.73
___중앙동(경기여주시),17.78
___오학동(경기여주시),16.88
_연천군(경기),676.32
___연천읍(경기연천),87.95
___전곡읍(경기연천),55.13
___군남면(경기연천),45.64
___청산면(경기연천),43.68
___백학면(경기연천),67.38
___미산면(경기연천),41.28
___왕징면(경기연천),71.09
___신서면(경기연천),147.75
___중면(경기연천),80.71
___장남면(경기연천),35.71
_가평군(경기),843.69
___가평읍(경기가평),144.86
___설악면(경기가평),141.65
___청평면(경기가평),112.26
___상면(경기가평),100.66
___북면(경기가평),231.19
___조종면(경기가평),113.07
_양평군(경기),877.65
___양평읍(경기양평),42.22
___강상면(경기양평),37.9
___강하면(경기양평),41.31
___양서면(경기양평),59.6
___옥천면(경기양평),66.69
___서종면(경기양평),92.71
___단월면(경기양평),107.73
___청운면(경기양평),96.62
___양동면(경기양평),120.29
___지평면(경기양평),77.69
___용문면(경기양평),102.54
___개군면(경기양평),32.35
